"Gross domestic product (GDP) at basic prices, by industry, monthly (x 1,000,000) 1 2"
"Frequency: Monthly"
"Table: 36-10-0434-01 (formerly CANSIM 379-0031)"
"Release date: 2026-01-30"
"Geography: Canada"
""
""

"Geography","Canada"
"Seasonal adjustment","Seasonally adjusted at annual rates"
"Prices","2017 constant prices 4"
"North American Industry Classification System (NAICS) 3","All industries  [T001] 5"
"Reference period"
,"Dollars"
"January 1997","1,202,795"
"February 1997","1,210,401"
"March 1997","1,210,375"
"April 1997","1,218,719"
"May 1997","1,223,241"
"June 1997","1,225,807"
"July 1997","1,239,304"
"August 1997","1,241,214"
"September 1997","1,243,789"
"October 1997","1,249,061"
"November 1997","1,250,581"
"December 1997","1,262,520"
"January 1998","1,257,600"
"February 1998","1,270,500"
"March 1998","1,275,830"
"April 1998","1,276,417"
"May 1998","1,273,920"
"June 1998","1,273,139"
"July 1998","1,272,636"
"August 1998","1,284,728"
"September 1998","1,288,098"
"October 1998","1,292,574"
"November 1998","1,295,007"
"December 1998","1,305,236"
"January 1999","1,315,423"
"February 1999","1,320,636"
"March 1999","1,320,819"
"April 1999","1,327,225"
"May 1999","1,328,973"
"June 1999","1,337,113"
"July 1999","1,342,259"
"August 1999","1,349,183"
"September 1999","1,358,663"
"October 1999","1,362,506"
"November 1999","1,375,331"
"December 1999","1,382,480"
"January 2000","1,383,188"
"February 2000","1,384,988"
"March 2000","1,399,198"
"April 2000","1,398,164"
"May 2000","1,408,641"
"June 2000","1,414,221"
"July 2000","1,420,045"
"August 2000","1,427,602"
"September 2000","1,429,587"
"October 2000","1,433,008"
"November 2000","1,434,114"
"December 2000","1,436,189"
"January 2001","1,434,786"
"February 2001","1,432,952"
"March 2001","1,434,215"
"April 2001","1,434,408"
"May 2001","1,439,501"
"June 2001","1,439,068"
"July 2001","1,437,149"
"August 2001","1,442,832"
"September 2001","1,436,122"
"October 2001","1,442,629"
"November 2001","1,450,432"
"December 2001","1,447,446"
"January 2002","1,463,654"
"February 2002","1,471,441"
"March 2002","1,469,841"
"April 2002","1,480,156"
"May 2002","1,482,284"
"June 2002","1,483,989"
"July 2002","1,489,760"
"August 2002","1,495,346"
"September 2002","1,491,999"
"October 2002","1,500,986"
"November 2002","1,500,377"
"December 2002","1,495,963"
"January 2003","1,503,422"
"February 2003","1,507,749"
"March 2003","1,506,131"
"April 2003","1,501,466"
"May 2003","1,506,094"
"June 2003","1,509,401"
"July 2003","1,516,827"
"August 2003","1,502,514"
"September 2003","1,521,691"
"October 2003","1,529,250"
"November 2003","1,530,993"
"December 2003","1,536,307"
"January 2004","1,536,294"
"February 2004","1,537,153"
"March 2004","1,548,914"
"April 2004","1,552,673"
"May 2004","1,557,533"
"June 2004","1,564,590"
"July 2004","1,565,683"
"August 2004","1,572,853"
"September 2004","1,577,237"
"October 2004","1,579,172"
"November 2004","1,581,530"
"December 2004","1,582,403"
"January 2005","1,588,966"
"February 2005","1,590,727"
"March 2005","1,585,294"
"April 2005","1,597,055"
"May 2005","1,604,270"
"June 2005","1,609,488"
"July 2005","1,612,504"
"August 2005","1,622,900"
"September 2005","1,623,155"
"October 2005","1,626,846"
"November 2005","1,636,999"
"December 2005","1,643,019"
"January 2006","1,646,933"
"February 2006","1,651,347"
"March 2006","1,656,422"
"April 2006","1,655,507"
"May 2006","1,656,482"
"June 2006","1,653,794"
"July 2006","1,655,458"
"August 2006","1,655,904"
"September 2006","1,652,004"
"October 2006","1,654,771"
"November 2006","1,658,309"
"December 2006","1,670,218"
"January 2007","1,670,230"
"February 2007","1,678,200"
"March 2007","1,681,426"
"April 2007","1,683,304"
"May 2007","1,690,345"
"June 2007","1,694,833"
"July 2007","1,694,192"
"August 2007","1,698,806"
"September 2007","1,695,623"
"October 2007","1,696,978"
"November 2007","1,698,493"
"December 2007","1,692,119"
"January 2008","1,698,085"
"February 2008","1,695,987"
"March 2008","1,695,336"
"April 2008","1,701,463"
"May 2008","1,703,077"
"June 2008","1,709,055"
"July 2008","1,719,310"
"August 2008","1,716,155"
"September 2008","1,715,007"
"October 2008","1,715,365"
"November 2008","1,696,497"
"December 2008","1,674,452"
"January 2009","1,660,531"
"February 2009","1,654,403"
"March 2009","1,643,455"
"April 2009","1,638,408"
"May 2009","1,635,275"
"June 2009","1,635,624"
"July 2009","1,640,278"
"August 2009","1,641,985"
"September 2009","1,652,512"
"October 2009","1,654,852"
"November 2009","1,664,864"
"December 2009","1,668,530"
"January 2010","1,679,024"
"February 2010","1,684,170"
"March 2010","1,692,483"
"April 2010","1,691,085"
"May 2010","1,700,737"
"June 2010","1,704,878"
"July 2010","1,706,240"
"August 2010","1,712,001"
"September 2010","1,712,540"
"October 2010","1,720,230"
"November 2010","1,726,062"
"December 2010","1,738,537"
"January 2011","1,743,640"
"February 2011","1,743,051"
"March 2011","1,748,703"
"April 2011","1,750,932"
"May 2011","1,746,649"
"June 2011","1,752,616"
"July 2011","1,765,183"
"August 2011","1,774,955"
"September 2011","1,777,730"
"October 2011","1,778,240"
"November 2011","1,779,908"
"December 2011","1,788,625"
"January 2012","1,788,101"
"February 2012","1,783,758"
"March 2012","1,788,458"
"April 2012","1,794,830"
"May 2012","1,797,855"
"June 2012","1,798,915"
"July 2012","1,802,563"
"August 2012","1,800,301"
"September 2012","1,800,167"
"October 2012","1,799,407"
"November 2012","1,807,988"
"December 2012","1,807,770"
"January 2013","1,816,487"
"February 2013","1,824,568"
"March 2013","1,831,866"
"April 2013","1,833,854"
"May 2013","1,838,688"
"June 2013","1,831,444"
"July 2013","1,841,420"
"August 2013","1,850,147"
"September 2013","1,856,259"
"October 2013","1,866,697"
"November 2013","1,869,568"
"December 2013","1,860,619"
"January 2014","1,865,961"
"February 2014","1,877,040"
"March 2014","1,879,281"
"April 2014","1,885,802"
"May 2014","1,892,694"
"June 2014","1,898,035"
"July 2014","1,899,156"
"August 2014","1,896,190"
"September 2014","1,907,961"
"October 2014","1,915,825"
"November 2014","1,914,447"
"December 2014","1,918,054"
"January 2015","1,911,102"
"February 2015","1,909,655"
"March 2015","1,907,732"
"April 2015","1,905,962"
"May 2015","1,902,015"
"June 2015","1,909,081"
"July 2015","1,916,456"
"August 2015","1,920,554"
"September 2015","1,911,864"
"October 2015","1,912,954"
"November 2015","1,917,332"
"December 2015","1,920,732"
"January 2016","1,930,994"
"February 2016","1,926,287"
"March 2016","1,919,644"
"April 2016","1,922,806"
"May 2016","1,908,133"
"June 2016","1,917,192"
"July 2016","1,930,842"
"August 2016","1,934,192"
"September 2016","1,942,426"
"October 2016","1,942,503"
"November 2016","1,950,737"
"December 2016","1,954,965"
"January 2017","1,964,986"
"February 2017","1,971,181"
"March 2017","1,978,904"
"April 2017","1,987,829"
"May 2017","1,992,076"
"June 2017","1,996,136"
"July 2017","1,994,357"
"August 2017","1,992,744"
"September 2017","1,998,227"
"October 2017","1,999,268"
"November 2017","2,008,842"
"December 2017","2,013,879"
"January 2018","2,020,324"
"February 2018","2,028,439"
"March 2018","2,033,588"
"April 2018","2,035,379"
"May 2018","2,045,033"
"June 2018","2,048,526"
"July 2018","2,053,772"
"August 2018","2,057,842"
"September 2018","2,061,251"
"October 2018","2,067,446"
"November 2018","2,063,957"
"December 2018","2,062,481"
"January 2019","2,067,355"
"February 2019","2,060,853"
"March 2019","2,072,190"
"April 2019","2,081,138"
"May 2019","2,089,625"
"June 2019","2,096,721"
"July 2019","2,097,024"
"August 2019","2,096,041"
"September 2019","2,100,233"
"October 2019","2,103,321"
"November 2019","2,104,743"
"December 2019","2,106,563"
"January 2020","2,110,881"




Footnotes:
1,"Aggregates are not always equal to the sum of their components."
2,"At the lowest level of detail, it may not be possible to produce a homogeneous series from 1997 to the present. Only industries and certain aggregates that provide good continuity back to 1997 have data from 1997 to 2006."
3,"With November 28, 2025 release, the monthly gross domestic product (GDP) by industry adopted the <a href="https://www.statcan.gc.ca/en/subjects/standard/naics/2022/v1/index" rel="external noopener noreferrer" target="_blank">North American Industry Classification System (NAICS) Canada 2022 version 1.0 (opens new window)</a>."
