"","date","series_id","value","realtime_start","realtime_end"
"1",1919-01-01,"INDPRO",4.8739,2026-01-16,2026-01-16
"2",1919-02-01,"INDPRO",4.6585,2026-01-16,2026-01-16
"3",1919-03-01,"INDPRO",4.5238,2026-01-16,2026-01-16
"4",1919-04-01,"INDPRO",4.6046,2026-01-16,2026-01-16
"5",1919-05-01,"INDPRO",4.6315,2026-01-16,2026-01-16
"6",1919-06-01,"INDPRO",4.9277,2026-01-16,2026-01-16
"7",1919-07-01,"INDPRO",5.2239,2026-01-16,2026-01-16
"8",1919-08-01,"INDPRO",5.3047,2026-01-16,2026-01-16
"9",1919-09-01,"INDPRO",5.197,2026-01-16,2026-01-16
"10",1919-10-01,"INDPRO",5.1432,2026-01-16,2026-01-16
"11",1919-11-01,"INDPRO",5.0624,2026-01-16,2026-01-16
"12",1919-12-01,"INDPRO",5.1432,2026-01-16,2026-01-16
"13",1920-01-01,"INDPRO",5.6279,2026-01-16,2026-01-16
"14",1920-02-01,"INDPRO",5.6279,2026-01-16,2026-01-16
"15",1920-03-01,"INDPRO",5.5201,2026-01-16,2026-01-16
"16",1920-04-01,"INDPRO",5.2239,2026-01-16,2026-01-16
"17",1920-05-01,"INDPRO",5.3586,2026-01-16,2026-01-16
"18",1920-06-01,"INDPRO",5.4124,2026-01-16,2026-01-16
"19",1920-07-01,"INDPRO",5.2778,2026-01-16,2026-01-16
"20",1920-08-01,"INDPRO",5.3047,2026-01-16,2026-01-16
"21",1920-09-01,"INDPRO",5.1162,2026-01-16,2026-01-16
"22",1920-10-01,"INDPRO",4.9008,2026-01-16,2026-01-16
"23",1920-11-01,"INDPRO",4.4969,2026-01-16,2026-01-16
"24",1920-12-01,"INDPRO",4.2276,2026-01-16,2026-01-16
"25",1921-01-01,"INDPRO",3.9853,2026-01-16,2026-01-16
"26",1921-02-01,"INDPRO",3.9045,2026-01-16,2026-01-16
"27",1921-03-01,"INDPRO",3.7968,2026-01-16,2026-01-16
"28",1921-04-01,"INDPRO",3.7968,2026-01-16,2026-01-16
"29",1921-05-01,"INDPRO",3.9045,2026-01-16,2026-01-16
"30",1921-06-01,"INDPRO",3.8776,2026-01-16,2026-01-16
"31",1921-07-01,"INDPRO",3.8506,2026-01-16,2026-01-16
"32",1921-08-01,"INDPRO",3.9853,2026-01-16,2026-01-16
"33",1921-09-01,"INDPRO",4.0122,2026-01-16,2026-01-16
"34",1921-10-01,"INDPRO",4.2545,2026-01-16,2026-01-16
"35",1921-11-01,"INDPRO",4.2007,2026-01-16,2026-01-16
"36",1921-12-01,"INDPRO",4.1738,2026-01-16,2026-01-16
"37",1922-01-01,"INDPRO",4.3353,2026-01-16,2026-01-16
"38",1922-02-01,"INDPRO",4.5238,2026-01-16,2026-01-16
"39",1922-03-01,"INDPRO",4.7662,2026-01-16,2026-01-16
"40",1922-04-01,"INDPRO",4.6046,2026-01-16,2026-01-16
"41",1922-05-01,"INDPRO",4.847,2026-01-16,2026-01-16
"42",1922-06-01,"INDPRO",5.0893,2026-01-16,2026-01-16
"43",1922-07-01,"INDPRO",5.0893,2026-01-16,2026-01-16
"44",1922-08-01,"INDPRO",4.9816,2026-01-16,2026-01-16
"45",1922-09-01,"INDPRO",5.2509,2026-01-16,2026-01-16
"46",1922-10-01,"INDPRO",5.5471,2026-01-16,2026-01-16
"47",1922-11-01,"INDPRO",5.7894,2026-01-16,2026-01-16
"48",1922-12-01,"INDPRO",5.951,2026-01-16,2026-01-16
"49",1923-01-01,"INDPRO",5.8163,2026-01-16,2026-01-16
"50",1923-02-01,"INDPRO",5.8971,2026-01-16,2026-01-16
"51",1923-03-01,"INDPRO",6.0856,2026-01-16,2026-01-16
"52",1923-04-01,"INDPRO",6.2203,2026-01-16,2026-01-16
"53",1923-05-01,"INDPRO",6.301,2026-01-16,2026-01-16
"54",1923-06-01,"INDPRO",6.2472,2026-01-16,2026-01-16
"55",1923-07-01,"INDPRO",6.1933,2026-01-16,2026-01-16
"56",1923-08-01,"INDPRO",6.0856,2026-01-16,2026-01-16
"57",1923-09-01,"INDPRO",5.951,2026-01-16,2026-01-16
"58",1923-10-01,"INDPRO",5.9241,2026-01-16,2026-01-16
"59",1923-11-01,"INDPRO",5.9241,2026-01-16,2026-01-16
"60",1923-12-01,"INDPRO",5.7894,2026-01-16,2026-01-16
"61",1924-01-01,"INDPRO",5.924,2026-01-16,2026-01-16
"62",1924-02-01,"INDPRO",6.0318,2026-01-16,2026-01-16
"63",1924-03-01,"INDPRO",5.9241,2026-01-16,2026-01-16
"64",1924-04-01,"INDPRO",5.7356,2026-01-16,2026-01-16
"65",1924-05-01,"INDPRO",5.4932,2026-01-16,2026-01-16
"66",1924-06-01,"INDPRO",5.2509,2026-01-16,2026-01-16
"67",1924-07-01,"INDPRO",5.1701,2026-01-16,2026-01-16
"68",1924-08-01,"INDPRO",5.3586,2026-01-16,2026-01-16
"69",1924-09-01,"INDPRO",5.5471,2026-01-16,2026-01-16
"70",1924-10-01,"INDPRO",5.6817,2026-01-16,2026-01-16
"71",1924-11-01,"INDPRO",5.7894,2026-01-16,2026-01-16
"72",1924-12-01,"INDPRO",5.951,2026-01-16,2026-01-16
"73",1925-01-01,"INDPRO",6.1395,2026-01-16,2026-01-16
"74",1925-02-01,"INDPRO",6.1395,2026-01-16,2026-01-16
"75",1925-03-01,"INDPRO",6.1395,2026-01-16,2026-01-16
"76",1925-04-01,"INDPRO",6.1933,2026-01-16,2026-01-16
"77",1925-05-01,"INDPRO",6.1664,2026-01-16,2026-01-16
"78",1925-06-01,"INDPRO",6.1125,2026-01-16,2026-01-16
"79",1925-07-01,"INDPRO",6.2741,2026-01-16,2026-01-16
"80",1925-08-01,"INDPRO",6.1664,2026-01-16,2026-01-16
"81",1925-09-01,"INDPRO",6.0856,2026-01-16,2026-01-16
"82",1925-10-01,"INDPRO",6.328,2026-01-16,2026-01-16
"83",1925-11-01,"INDPRO",6.4626,2026-01-16,2026-01-16
"84",1925-12-01,"INDPRO",6.5434,2026-01-16,2026-01-16
"85",1926-01-01,"INDPRO",6.4357,2026-01-16,2026-01-16
"86",1926-02-01,"INDPRO",6.4357,2026-01-16,2026-01-16
"87",1926-03-01,"INDPRO",6.5165,2026-01-16,2026-01-16
"88",1926-04-01,"INDPRO",6.5165,2026-01-16,2026-01-16
"89",1926-05-01,"INDPRO",6.4626,2026-01-16,2026-01-16
"90",1926-06-01,"INDPRO",6.5434,2026-01-16,2026-01-16
"91",1926-07-01,"INDPRO",6.5703,2026-01-16,2026-01-16
"92",1926-08-01,"INDPRO",6.6511,2026-01-16,2026-01-16
"93",1926-09-01,"INDPRO",6.7588,2026-01-16,2026-01-16
"94",1926-10-01,"INDPRO",6.7588,2026-01-16,2026-01-16
"95",1926-11-01,"INDPRO",6.7319,2026-01-16,2026-01-16
"96",1926-12-01,"INDPRO",6.705,2026-01-16,2026-01-16
"97",1927-01-01,"INDPRO",6.678,2026-01-16,2026-01-16
"98",1927-02-01,"INDPRO",6.7319,2026-01-16,2026-01-16
"99",1927-03-01,"INDPRO",6.8127,2026-01-16,2026-01-16
"100",1927-04-01,"INDPRO",6.6511,2026-01-16,2026-01-16
"101",1927-05-01,"INDPRO",6.705,2026-01-16,2026-01-16
"102",1927-06-01,"INDPRO",6.678,2026-01-16,2026-01-16
"103",1927-07-01,"INDPRO",6.5972,2026-01-16,2026-01-16
"104",1927-08-01,"INDPRO",6.5972,2026-01-16,2026-01-16
"105",1927-09-01,"INDPRO",6.4895,2026-01-16,2026-01-16
"106",1927-10-01,"INDPRO",6.3549,2026-01-16,2026-01-16
"107",1927-11-01,"INDPRO",6.3549,2026-01-16,2026-01-16
"108",1927-12-01,"INDPRO",6.3818,2026-01-16,2026-01-16
"109",1928-01-01,"INDPRO",6.5165,2026-01-16,2026-01-16
"110",1928-02-01,"INDPRO",6.5703,2026-01-16,2026-01-16
"111",1928-03-01,"INDPRO",6.6242,2026-01-16,2026-01-16
"112",1928-04-01,"INDPRO",6.5972,2026-01-16,2026-01-16
"113",1928-05-01,"INDPRO",6.678,2026-01-16,2026-01-16
"114",1928-06-01,"INDPRO",6.7319,2026-01-16,2026-01-16
"115",1928-07-01,"INDPRO",6.8127,2026-01-16,2026-01-16
"116",1928-08-01,"INDPRO",6.9473,2026-01-16,2026-01-16
"117",1928-09-01,"INDPRO",7.0012,2026-01-16,2026-01-16
"118",1928-10-01,"INDPRO",7.1358,2026-01-16,2026-01-16
"119",1928-11-01,"INDPRO",7.2704,2026-01-16,2026-01-16
"120",1928-12-01,"INDPRO",7.4051,2026-01-16,2026-01-16
"121",1929-01-01,"INDPRO",7.5128,2026-01-16,2026-01-16
"122",1929-02-01,"INDPRO",7.4858,2026-01-16,2026-01-16
"123",1929-03-01,"INDPRO",7.5128,2026-01-16,2026-01-16
"124",1929-04-01,"INDPRO",7.6474,2026-01-16,2026-01-16
"125",1929-05-01,"INDPRO",7.7821,2026-01-16,2026-01-16
"126",1929-06-01,"INDPRO",7.8359,2026-01-16,2026-01-16
"127",1929-07-01,"INDPRO",7.9436,2026-01-16,2026-01-16
"128",1929-08-01,"INDPRO",7.8628,2026-01-16,2026-01-16
"129",1929-09-01,"INDPRO",7.809,2026-01-16,2026-01-16
"130",1929-10-01,"INDPRO",7.6743,2026-01-16,2026-01-16
"131",1929-11-01,"INDPRO",7.2974,2026-01-16,2026-01-16
"132",1929-12-01,"INDPRO",6.9742,2026-01-16,2026-01-16
"133",1930-01-01,"INDPRO",6.9742,2026-01-16,2026-01-16
"134",1930-02-01,"INDPRO",6.9473,2026-01-16,2026-01-16
"135",1930-03-01,"INDPRO",6.8396,2026-01-16,2026-01-16
"136",1930-04-01,"INDPRO",6.7857,2026-01-16,2026-01-16
"137",1930-05-01,"INDPRO",6.678,2026-01-16,2026-01-16
"138",1930-06-01,"INDPRO",6.4895,2026-01-16,2026-01-16
"139",1930-07-01,"INDPRO",6.1933,2026-01-16,2026-01-16
"140",1930-08-01,"INDPRO",6.0587,2026-01-16,2026-01-16
"141",1930-09-01,"INDPRO",5.951,2026-01-16,2026-01-16
"142",1930-10-01,"INDPRO",5.7894,2026-01-16,2026-01-16
"143",1930-11-01,"INDPRO",5.6548,2026-01-16,2026-01-16
"144",1930-12-01,"INDPRO",5.5201,2026-01-16,2026-01-16
"145",1931-01-01,"INDPRO",5.4932,2026-01-16,2026-01-16
"146",1931-02-01,"INDPRO",5.5201,2026-01-16,2026-01-16
"147",1931-03-01,"INDPRO",5.6279,2026-01-16,2026-01-16
"148",1931-04-01,"INDPRO",5.6548,2026-01-16,2026-01-16
"149",1931-05-01,"INDPRO",5.574,2026-01-16,2026-01-16
"150",1931-06-01,"INDPRO",5.4394,2026-01-16,2026-01-16
"151",1931-07-01,"INDPRO",5.3586,2026-01-16,2026-01-16
"152",1931-08-01,"INDPRO",5.1701,2026-01-16,2026-01-16
"153",1931-09-01,"INDPRO",4.9277,2026-01-16,2026-01-16
"154",1931-10-01,"INDPRO",4.7392,2026-01-16,2026-01-16
"155",1931-11-01,"INDPRO",4.6854,2026-01-16,2026-01-16
"156",1931-12-01,"INDPRO",4.6585,2026-01-16,2026-01-16
"157",1932-01-01,"INDPRO",4.5238,2026-01-16,2026-01-16
"158",1932-02-01,"INDPRO",4.4161,2026-01-16,2026-01-16
"159",1932-03-01,"INDPRO",4.3623,2026-01-16,2026-01-16
"160",1932-04-01,"INDPRO",4.0661,2026-01-16,2026-01-16
"161",1932-05-01,"INDPRO",3.9314,2026-01-16,2026-01-16
"162",1932-06-01,"INDPRO",3.7968,2026-01-16,2026-01-16
"163",1932-07-01,"INDPRO",3.6891,2026-01-16,2026-01-16
"164",1932-08-01,"INDPRO",3.7968,2026-01-16,2026-01-16
